epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.824,1.08119,2.61273,1.32755,0.38705,0.4544,0.37225,0.24713,1.097,1.98888,1.28767,0.000114638,0.000114638,0.000114638
2,382.74,1.11945,2.04711,1.33883,0.42721,0.44013,0.37015,0.23784,1.21232,2.00722,1.38849,0.000227365,0.000227365,0.000227365
3,552.459,1.15935,2.0241,1.37282,0.40569,0.44288,0.38277,0.24596,1.19458,2.06555,1.37197,0.000337815,0.000337815,0.000337815
4,723.223,1.15425,1.95249,1.37599,0.46836,0.45804,0.42024,0.28087,1.15913,1.75683,1.35661,0.000334753,0.000334753,0.000334753
5,893.068,1.15082,1.84276,1.37515,0.48261,0.49625,0.46807,0.31608,1.13274,1.63206,1.34312,0.000331338,0.000331338,0.000331338
6,1065.97,1.11688,1.74901,1.34852,0.51302,0.51455,0.49597,0.33023,1.12162,1.56375,1.32514,0.000327922,0.000327922,0.000327922
7,1238.11,1.09238,1.70153,1.33721,0.55939,0.53801,0.5345,0.37173,1.09211,1.48302,1.30568,0.000324507,0.000324507,0.000324507
8,1410.6,1.07846,1.61191,1.32934,0.55513,0.56162,0.57168,0.39912,1.07162,1.40997,1.28293,0.000321091,0.000321091,0.000321091
9,1583.78,1.06084,1.56844,1.31242,0.57945,0.56657,0.59267,0.42184,1.04368,1.34612,1.26359,0.000317676,0.000317676,0.000317676
10,1757.21,1.05208,1.51396,1.31348,0.59638,0.59915,0.60965,0.43257,1.03024,1.37212,1.23881,0.000314261,0.000314261,0.000314261
11,1929.67,1.04427,1.45163,1.29119,0.60167,0.60146,0.61511,0.44251,1.00789,1.31784,1.23767,0.000310845,0.000310845,0.000310845
12,2102.47,1.03044,1.42878,1.28625,0.64708,0.62378,0.65976,0.47577,0.98851,1.14853,1.21725,0.000307429,0.000307429,0.000307429
13,2275.33,1.01403,1.36609,1.27779,0.64806,0.62604,0.67078,0.49319,0.97354,1.14152,1.20655,0.000304014,0.000304014,0.000304014
14,2448.38,1.00032,1.33378,1.26779,0.67219,0.63933,0.68496,0.50201,0.96745,1.09788,1.19891,0.000300598,0.000300598,0.000300598
15,2620.73,0.9978,1.29534,1.2619,0.67611,0.65141,0.6959,0.50884,0.95545,1.07909,1.19753,0.000297183,0.000297183,0.000297183
16,2793.61,0.98503,1.26804,1.26122,0.69265,0.66579,0.72715,0.53967,0.93263,1.00964,1.17404,0.000293768,0.000293768,0.000293768
17,2965.76,0.97119,1.23499,1.25384,0.71912,0.67685,0.73853,0.54477,0.92766,0.98932,1.17476,0.000290352,0.000290352,0.000290352
18,3133.94,0.97404,1.20647,1.24662,0.72482,0.66588,0.74068,0.5527,0.93396,0.97825,1.17223,0.000286936,0.000286936,0.000286936
19,3302.35,0.96168,1.18128,1.23799,0.71816,0.70076,0.76068,0.5744,0.91102,0.93038,1.16364,0.000283521,0.000283521,0.000283521
20,3470.55,0.9412,1.16149,1.23072,0.7466,0.69757,0.77347,0.58504,0.89757,0.89812,1.14683,0.000280106,0.000280106,0.000280106
21,3638.9,0.95025,1.12933,1.22216,0.76498,0.70517,0.7891,0.60179,0.88714,0.84881,1.13851,0.00027669,0.00027669,0.00027669
22,3807.18,0.93191,1.11102,1.21261,0.74764,0.72376,0.79486,0.60416,0.87997,0.84095,1.13524,0.000273275,0.000273275,0.000273275
23,3975.71,0.92313,1.07906,1.21159,0.78256,0.74041,0.81128,0.61586,0.86671,0.80873,1.11335,0.000269859,0.000269859,0.000269859
24,4143.98,0.92593,1.0691,1.20446,0.7807,0.74827,0.82284,0.63451,0.85314,0.78636,1.10925,0.000266444,0.000266444,0.000266444
25,4311.99,0.91592,1.04422,1.20689,0.7909,0.74238,0.82582,0.6353,0.85585,0.77184,1.10877,0.000263028,0.000263028,0.000263028
26,4480.14,0.90982,1.02104,1.19741,0.80001,0.75414,0.83269,0.64523,0.84989,0.75728,1.10188,0.000259612,0.000259612,0.000259612
27,4648.7,0.91555,0.98988,1.20147,0.82616,0.77208,0.85568,0.66565,0.83157,0.69726,1.09499,0.000256197,0.000256197,0.000256197
28,4816.87,0.89483,0.96671,1.18616,0.82195,0.78367,0.86307,0.67265,0.82774,0.69565,1.08485,0.000252781,0.000252781,0.000252781
29,4985.2,0.89685,0.95129,1.18557,0.83597,0.7917,0.869,0.68142,0.81412,0.68297,1.07846,0.000249366,0.000249366,0.000249366
30,5153.39,0.88803,0.9334,1.1717,0.81846,0.80074,0.86797,0.68497,0.81071,0.68078,1.07511,0.00024595,0.00024595,0.00024595
31,5321.09,0.88538,0.92385,1.17735,0.83594,0.80071,0.87471,0.68837,0.80761,0.65441,1.07009,0.000242535,0.000242535,0.000242535
32,5488.8,0.877,0.90394,1.1803,0.84603,0.80575,0.88215,0.69724,0.80136,0.63793,1.06876,0.000239119,0.000239119,0.000239119
33,5656.37,0.86804,0.87906,1.16829,0.86264,0.82244,0.89691,0.7118,0.78837,0.58979,1.0556,0.000235704,0.000235704,0.000235704
34,5824.07,0.86211,0.86436,1.16324,0.86883,0.81807,0.89655,0.71804,0.77882,0.59049,1.05099,0.000232288,0.000232288,0.000232288
35,5992.71,0.85686,0.86193,1.15468,0.86681,0.82269,0.90247,0.72095,0.77539,0.5728,1.04618,0.000228873,0.000228873,0.000228873
36,6160.57,0.8503,0.83706,1.15017,0.87271,0.83895,0.90878,0.73082,0.76259,0.55545,1.03911,0.000225457,0.000225457,0.000225457
37,6328.34,0.85249,0.8389,1.15099,0.88228,0.83312,0.90875,0.73009,0.76222,0.55362,1.04074,0.000222042,0.000222042,0.000222042
38,6506.3,0.83343,0.79401,1.13968,0.8891,0.84518,0.91509,0.73857,0.75149,0.54628,1.02768,0.000218627,0.000218627,0.000218627
39,6674.69,0.82592,0.78346,1.14009,0.88829,0.85417,0.9202,0.74516,0.74809,0.53115,1.02538,0.000215211,0.000215211,0.000215211
40,6845.34,0.82172,0.77503,1.13461,0.90036,0.86336,0.92877,0.7565,0.73248,0.50575,1.01697,0.000211795,0.000211795,0.000211795
41,7013.95,0.81301,0.76708,1.13179,0.89507,0.86041,0.92808,0.75613,0.73466,0.50469,1.01638,0.00020838,0.00020838,0.00020838
42,7180.73,0.79814,0.75819,1.12002,0.90255,0.87179,0.93368,0.76347,0.72396,0.4862,1.00894,0.000204965,0.000204965,0.000204965
43,7347.47,0.80593,0.74539,1.12425,0.9051,0.86113,0.92926,0.76112,0.71866,0.49807,1.00774,0.000201549,0.000201549,0.000201549
44,7513.97,0.79924,0.74323,1.11668,0.90974,0.88031,0.93865,0.77176,0.71113,0.46633,1.00453,0.000198134,0.000198134,0.000198134
45,7680.76,0.78983,0.7196,1.10811,0.90965,0.87793,0.9388,0.77232,0.7086,0.4683,0.99779,0.000194718,0.000194718,0.000194718
46,7847.49,0.80138,0.71299,1.11652,0.92499,0.88566,0.94495,0.78093,0.70031,0.44704,0.99276,0.000191303,0.000191303,0.000191303
47,8013.86,0.79258,0.71069,1.1179,0.91908,0.88675,0.94557,0.78657,0.69651,0.43967,0.99327,0.000187887,0.000187887,0.000187887
48,8181.06,0.79622,0.70187,1.10896,0.92231,0.89351,0.94888,0.78905,0.69069,0.43541,0.98343,0.000184472,0.000184472,0.000184472
49,8347.75,0.77579,0.68061,1.10274,0.93462,0.89417,0.95082,0.79418,0.68,0.41949,0.98047,0.000181056,0.000181056,0.000181056
50,8514.31,0.77391,0.66157,1.09793,0.92966,0.89419,0.9513,0.7971,0.67533,0.41677,0.97882,0.00017764,0.00017764,0.00017764
51,8680.87,0.7747,0.66133,1.095,0.92863,0.90338,0.952,0.79863,0.6715,0.40482,0.96987,0.000174225,0.000174225,0.000174225
52,8847.44,0.7629,0.65155,1.09546,0.94177,0.90344,0.95487,0.80592,0.66251,0.39086,0.96961,0.000170809,0.000170809,0.000170809
53,9013.76,0.75697,0.64868,1.09135,0.93262,0.90756,0.95476,0.80562,0.66047,0.39668,0.96768,0.000167394,0.000167394,0.000167394
54,9180.26,0.75489,0.62908,1.0827,0.94064,0.91035,0.95812,0.80943,0.65373,0.38627,0.95616,0.000163978,0.000163978,0.000163978
55,9346.55,0.73737,0.61273,1.07895,0.94001,0.91626,0.95911,0.81515,0.64571,0.37592,0.95479,0.000160563,0.000160563,0.000160563
56,9513.1,0.74287,0.61085,1.07724,0.94495,0.91435,0.96129,0.81733,0.64096,0.3687,0.95413,0.000157147,0.000157147,0.000157147
57,9679.74,0.73178,0.60247,1.08012,0.94644,0.9165,0.96163,0.81908,0.63498,0.36569,0.95116,0.000153732,0.000153732,0.000153732
58,9846.27,0.73001,0.59211,1.06964,0.95255,0.91513,0.96332,0.82442,0.62914,0.35681,0.94639,0.000150317,0.000150317,0.000150317
59,10012.7,0.73149,0.59159,1.07298,0.95538,0.91605,0.96378,0.8261,0.62278,0.3537,0.94152,0.000146901,0.000146901,0.000146901
60,10179.1,0.71972,0.58105,1.06492,0.95433,0.92663,0.96636,0.82913,0.61888,0.34177,0.93919,0.000143486,0.000143486,0.000143486
61,10345.6,0.72144,0.57635,1.06347,0.95564,0.92031,0.9655,0.83052,0.61591,0.34123,0.93649,0.00014007,0.00014007,0.00014007
62,10512,0.69935,0.56841,1.05697,0.95757,0.92405,0.96585,0.83258,0.60989,0.34057,0.93376,0.000136655,0.000136655,0.000136655
63,10678.3,0.71317,0.57068,1.05796,0.95829,0.92831,0.96808,0.83599,0.60515,0.3335,0.92783,0.000133239,0.000133239,0.000133239
