epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,10844.9,0.70397,0.56054,1.06023,0.96064,0.93138,0.96983,0.84021,0.59839,0.32548,0.92799,0.000129824,0.000129824,0.000129824
65,11011.1,0.70038,0.55258,1.05654,0.96019,0.93025,0.96886,0.84167,0.59077,0.32266,0.92466,0.000126408,0.000126408,0.000126408
66,11177.3,0.70015,0.55221,1.05545,0.95862,0.93532,0.96931,0.84235,0.58979,0.32076,0.92377,0.000122992,0.000122992,0.000122992
67,11343.8,0.69386,0.54623,1.04859,0.95905,0.93366,0.96909,0.84435,0.58531,0.31756,0.91847,0.000119577,0.000119577,0.000119577
68,11510.3,0.6816,0.53019,1.0461,0.96551,0.93537,0.97158,0.84976,0.57559,0.30959,0.91285,0.000116161,0.000116161,0.000116161
69,11676.9,0.67775,0.52902,1.04244,0.96482,0.93635,0.97106,0.85055,0.57201,0.30835,0.91136,0.000112746,0.000112746,0.000112746
70,11843.2,0.67412,0.5251,1.03739,0.96675,0.93491,0.97155,0.85347,0.56781,0.30173,0.90608,0.000109331,0.000109331,0.000109331
71,12009.7,0.67659,0.51508,1.03991,0.96716,0.9418,0.97309,0.85539,0.56415,0.29836,0.90645,0.000105915,0.000105915,0.000105915
72,12176.3,0.66018,0.51582,1.03613,0.96652,0.94639,0.97405,0.85599,0.55704,0.29531,0.9033,0.0001025,0.0001025,0.0001025
73,12342.4,0.65004,0.50002,1.03291,0.96975,0.9436,0.97439,0.85923,0.55164,0.28885,0.90214,9.9084e-05,9.9084e-05,9.9084e-05
74,12509,0.64821,0.49646,1.02925,0.96845,0.94712,0.97485,0.86089,0.54857,0.28734,0.8998,9.56685e-05,9.56685e-05,9.56685e-05
75,12675.8,0.65712,0.496,1.02923,0.97052,0.9464,0.97523,0.86279,0.54406,0.28612,0.89584,9.2253e-05,9.2253e-05,9.2253e-05
76,12842.5,0.64407,0.48979,1.028,0.96862,0.94694,0.97544,0.86643,0.53559,0.28028,0.89179,8.88375e-05,8.88375e-05,8.88375e-05
77,13008.9,0.65303,0.4838,1.02392,0.97019,0.94825,0.97526,0.86749,0.53255,0.27874,0.88582,8.5422e-05,8.5422e-05,8.5422e-05
78,13174.8,0.63608,0.47715,1.02174,0.97084,0.94813,0.97599,0.86801,0.53106,0.27703,0.88745,8.20065e-05,8.20065e-05,8.20065e-05
79,13340.9,0.63561,0.47395,1.01784,0.97421,0.94541,0.97581,0.8698,0.52646,0.27442,0.88495,7.8591e-05,7.8591e-05,7.8591e-05
80,13508.1,0.63937,0.47091,1.02038,0.97536,0.94707,0.9763,0.87189,0.52219,0.27271,0.88468,7.51755e-05,7.51755e-05,7.51755e-05
81,13674.8,0.625,0.45919,1.01262,0.97339,0.95016,0.97613,0.87214,0.51968,0.27025,0.88185,7.176e-05,7.176e-05,7.176e-05
82,13841.6,0.62706,0.45794,1.01141,0.97548,0.94909,0.97663,0.87478,0.51275,0.2674,0.87895,6.83445e-05,6.83445e-05,6.83445e-05
83,14008,0.61883,0.45808,1.01138,0.9748,0.95213,0.97679,0.87573,0.51083,0.26498,0.87726,6.4929e-05,6.4929e-05,6.4929e-05
84,14174.4,0.6226,0.45206,1.01259,0.97701,0.94963,0.97682,0.87767,0.50727,0.26262,0.87381,6.15135e-05,6.15135e-05,6.15135e-05
85,14341,0.61839,0.44831,1.00285,0.97788,0.95139,0.97747,0.87955,0.50258,0.2601,0.87095,5.8098e-05,5.8098e-05,5.8098e-05
86,14507.5,0.61013,0.44571,1.00579,0.97851,0.95252,0.97802,0.88064,0.49936,0.25896,0.87052,5.46825e-05,5.46825e-05,5.46825e-05
87,14674,0.61375,0.45278,1.00563,0.97667,0.95395,0.97837,0.88214,0.49504,0.25727,0.86843,5.1267e-05,5.1267e-05,5.1267e-05
88,14840.5,0.61244,0.44272,1.00674,0.97737,0.95312,0.97823,0.88248,0.49232,0.25593,0.8671,4.78515e-05,4.78515e-05,4.78515e-05
89,15006.7,0.59762,0.43202,1.00237,0.97685,0.95536,0.9785,0.88402,0.4882,0.25272,0.86403,4.4436e-05,4.4436e-05,4.4436e-05
90,15173,0.59767,0.42813,0.9948,0.97922,0.95384,0.97845,0.88572,0.48435,0.25127,0.86266,4.10205e-05,4.10205e-05,4.10205e-05
91,15370.3,0.54186,0.3272,0.94095,0.97606,0.95493,0.9777,0.88207,0.49226,0.25583,0.86341,3.7605e-05,3.7605e-05,3.7605e-05
92,15535.9,0.52707,0.30253,0.92996,0.97688,0.95507,0.97822,0.88529,0.4868,0.25182,0.86181,3.41895e-05,3.41895e-05,3.41895e-05
93,15701.4,0.52416,0.29651,0.93066,0.97881,0.95603,0.9787,0.88715,0.48273,0.24789,0.86044,3.0774e-05,3.0774e-05,3.0774e-05
94,15867.6,0.51269,0.29205,0.9237,0.9787,0.95696,0.97946,0.88942,0.47722,0.24505,0.857,2.73585e-05,2.73585e-05,2.73585e-05
95,16033.4,0.51041,0.2873,0.92613,0.97873,0.95804,0.97997,0.89083,0.47367,0.2438,0.85599,2.3943e-05,2.3943e-05,2.3943e-05
96,16198.7,0.50646,0.28456,0.92549,0.98226,0.95567,0.97977,0.89214,0.47103,0.24248,0.85467,2.05275e-05,2.05275e-05,2.05275e-05
97,16364.2,0.50481,0.28305,0.92342,0.98083,0.95783,0.98001,0.89342,0.46695,0.24043,0.85254,1.7112e-05,1.7112e-05,1.7112e-05
98,16529.6,0.50242,0.27889,0.9234,0.98067,0.95786,0.98031,0.89436,0.46374,0.23891,0.85145,1.36965e-05,1.36965e-05,1.36965e-05
99,16695.3,0.49709,0.27797,0.91752,0.98103,0.95834,0.98044,0.8958,0.4621,0.23833,0.85043,1.0281e-05,1.0281e-05,1.0281e-05
100,16861.8,0.48862,0.27325,0.91673,0.98108,0.95849,0.98053,0.89644,0.46019,0.23697,0.84928,6.8655e-06,6.8655e-06,6.8655e-06
